normalized_item,counterparty,doc_type,doc_date,unit_price,quantity,uom,source_file,doc_number
70/68/2/140 NYLON TWT DYED,KOHINOOR ELASTICS PVT. LTD.,TAX_INVOICE,2026-01-05,459.0,195.11,KGS,doc_091.pdf,P29147
70/68/2/140 NYLON TWT DYED,PREMCO GLOBAL LIMITED,TAX_INVOICE,2026-01-05,484.0,42.0,KGS,doc_108.pdf,P29145
70/68/2/140 NYLON TWT DYED,KOHINOOR ELASTICS PVT. LTD.,TAX_INVOICE,2026-01-05,459.0,4.0,KGS,doc_134.pdf,P29153
70/68/2/140 NYLON TWT DYED,KOHINOOR ELASTICS PVT. LTD.,TAX_INVOICE,2026-01-05,459.0,23.08,KGS,doc_134.pdf,P29153
70/68/2/140 NYLON TWT DYED,KOHINOOR ELASTICS PVT. LTD.,TAX_INVOICE,2026-01-05,464.0,386.74,KGS,doc_134.pdf,P29153
70/68/2/140 NYLON TWT DYED,KOHINOOR ELASTICS PVT. LTD.,TAX_INVOICE,2026-01-05,532.0,18.2,KGS,doc_134.pdf,P29153
20D SPANDEX YARN NA,BRIGHT CHOICE OVERSEAS,DELIVERY_INSTRUCTION,2026-01-29,335.0,32.0,KGS,doc_059.pdf,DDS/00539/25-26
70/68/2/140 NYLON Z TWT,KOHINOOR ELASTICS PVT. LTD.,TAX_INVOICE,2026-01-03,459.0,9.85,KGS,doc_061.pdf,P29113
110/48/2/80 HB-TWT DYED,SRI VIGNESH TEXTILES,TAX_INVOICE,2026-01-04,192.0,505.67,KGS,doc_062.pdf,P29128
80/72/0 GREY YARN,PINEAPPLE FASHION PRIVATE LIMITED,DELIVERY_INSTRUCTION,2026-01-05,121.0,3000.0,KGS,doc_063.pdf,DDS/00486/25-26
DARK+10 - BLACK,KUMAR ELASTICS,DELIVERY_INSTRUCTION,2026-01-10,145.0,1500.0,KGS,doc_075.pdf,DDS/00495/25-26
DARK+10 - BLACK,N K INDUSTRIES,DELIVERY_INSTRUCTION,2026-01-14,315.0,500.0,KGS,doc_151.pdf,DDS/00503/25-26
DARK+10 - BLACK,SPICA INDUSTRIES PRIVATE LIMITED,DELIVERY_INSTRUCTION,2026-01-16,375.0,600.0,KGS,doc_094.pdf,DDS/00508/25-26
DARK+10 - BLACK,SPICA INDUSTRIES PRIVATE LIMITED,DELIVERY_INSTRUCTION,2026-01-22,375.0,2600.0,KGS,doc_068.pdf,DDS/00530/25-26
